kp,ki,kd,max_throttle,crashed,runtime,distance,total_absolute_cte
0.07745850999999998,0.039887341000000014,0.10941541490000001,0.6767150099999998,true,36.8147,880.031,26.4457
0.07745850999999998,0.039887341000000014,-0.006332434900000031,0.6767150099999998,true,7.06396,60.3491,8.30762
0.07745850999999998,0.039887341000000014,0.05154148999999999,0.7631686508999999,false,90.0155,2974.47,70.4401
0.12954504241,0.039887341000000014,0.05154148999999999,0.7631686508999999,true,21.0056,454.857,13.1238
0.02537197758999994,0.039887341000000014,0.05154148999999999,0.7631686508999999,true,28.202,721.552,30.809
0.07745850999999998,0.09197387341000003,0.05154148999999999,0.7631686508999999,true,57.0904,1751.18,43.2525
0.07745850999999998,-0.012199191410000004,0.05154148999999999,0.7631686508999999,true,15.501,287.763,28.5497
0.07745850999999998,0.039887341000000014,0.10362802241,0.7631686508999999,true,29.8978,754.543,17.1427
0.07745850999999998,0.039887341000000014,-0.0005450424100000295,0.7631686508999999,true,7.71046,81.103,9.46299
0.07745850999999998,0.039887341000000014,0.05154148999999999,0.8582676558899999,true,26.404,731.233,16.1111
0.07745850999999998,0.039887341000000014,0.05154148999999999,0.6680696459099997,false,90.0298,2649.51,60.693
0.124336389169,0.039887341000000014,0.05154148999999999,0.7631686508999997,true,21.1302,457.92,13.568
0.030580630830999947,0.039887341000000014,0.05154148999999999,0.7631686508999997,true,29.1509,747.911,30.0356
0.07745850999999998,0.08676522016900004,0.05154148999999999,0.7631686508999997,true,56.7952,1750.29,41.0321
0.07745850999999998,-0.006990538168999999,0.05154148999999999,0.7631686508999997,true,24.2313,582.481,45.0919
0.07745850999999998,0.03988734100000002,0.09841936916900001,0.7631686508999997,true,33.7061,882.657,23.9355
0.07745850999999998,0.03988734100000002,0.004663610830999976,0.7631686508999997,true,7.80776,83.8185,8.77056
0.07745850999999998,0.03988734100000002,0.051541489999999995,0.8487577553909997,true,26.7534,737.114,16.4043
0.07745850999999998,0.03988734100000002,0.051541489999999995,0.6775795464089996,false,90.0163,2681.07,61.1783
0.1196486012521,0.03988734100000002,0.051541489999999995,0.7631686508999997,true,21.1847,461.445,12.9482
0.035268418747899946,0.03988734100000002,0.051541489999999995,0.7631686508999997,true,28.9194,746.071,25.3959
0.07745850999999998,0.08207743225210004,0.051541489999999995,0.7631686508999997,true,56.7356,1750.32,39.7008
0.07745850999999998,-0.0023027502521,0.051541489999999995,0.7631686508999997,true,56.5639,1752.99,97.694
0.07745850999999998,0.03988734100000002,0.09373158125210002,0.7631686508999997,true,33.4721,882.204,23.051
0.07745850999999998,0.03988734100000002,0.009351398747899975,0.7631686508999997,true,9.24646,113.768,12.1008
0.07745850999999998,0.03988734100000002,0.051541489999999995,0.8401988449418998,true,53.148,1759.13,40.284
0.07745850999999998,0.03988734100000002,0.051541489999999995,0.6861384568580997,false,90.0301,2713.08,61.2849
